  0.000000    2.916905    0.071254    0.928746  
  0.010000    2.914791    0.071478    0.928522  
  0.020000    2.908454    0.072156    0.927844  
  0.030000    2.897912    0.073304    0.926696  
  0.040000    2.883192    0.074946    0.925054  
  0.050000    2.864333    0.077122    0.922878  
  0.060000    2.841383    0.079881    0.920119  
  0.070000    2.814398    0.083292    0.916708  
  0.080000    2.783444    0.087439    0.912561  
  0.090000    2.748590    0.092429    0.907571  
  0.100000    2.709911    0.098394    0.901606  
  0.110000    2.667484    0.105501    0.894499  
  0.120000    2.621384    0.113950    0.886050  
  0.130000    2.571682    0.123990    0.876010  
  0.140000    2.518441    0.135920    0.864080  
  0.150000    2.461710    0.150101    0.849899  
  0.160000    2.401524    0.166953    0.833047  
  0.170000    2.337895    0.186958    0.813042  
  0.180000    2.270808    0.210639    0.789361  
  0.190000    2.200222    0.238521    0.761479  
  0.200000    2.126075    0.271065    0.728935  
  0.210000    2.048286    0.308552    0.691448  
  0.220000    1.966782    0.350949    0.649051  
  0.230000    1.881525    0.397762    0.602238  
  0.240000    1.792547    0.447959    0.552041  
  0.250000    1.700000    0.500000    0.500000  
  0.260000    1.604176    0.552041    0.447959  
  0.270000    1.505525    0.602238    0.397762  
  0.280000    1.404638    0.649051    0.350949  
  0.290000    1.302217    0.691448    0.308552  
  0.300000    1.199024    0.728935    0.271065  
  0.310000    1.095849    0.761479    0.238521  
  0.320000    0.993470    0.789361    0.210639  
  0.330000    0.892634    0.813042    0.186958  
  0.340000    0.794044    0.833047    0.166953  
  0.350000    0.698354    0.849899    0.150101  
  0.360000    0.606169    0.864080    0.135920  
  0.370000    0.518041    0.876010    0.123990  
  0.380000    0.434478    0.886050    0.113950  
  0.390000    0.355945    0.894499    0.105501  
  0.400000    0.282860    0.901606    0.098394  
  0.410000    0.215606    0.907571    0.092429  
  0.420000    0.154524    0.912561    0.087439  
  0.430000    0.099917    0.916708    0.083292  
  0.440000    0.052053    0.920119    0.079881  
  0.450000    0.011163    0.922878    0.077122  
  0.460000   -0.022557    0.925054    0.074946  
  0.470000   -0.048950    0.926696    0.073304  
  0.480000   -0.067890    0.927844    0.072156  
  0.490000   -0.079289    0.928522    0.071478  
  0.500000   -0.083095    0.928746    0.071254  
  0.510000   -0.079289    0.928522    0.071478  
  0.520000   -0.067890    0.927844    0.072156  
  0.530000   -0.048950    0.926696    0.073304  
  0.540000   -0.022557    0.925054    0.074946  
  0.550000    0.011163    0.922878    0.077122  
  0.560000    0.052053    0.920119    0.079881  
  0.570000    0.099917    0.916708    0.083292  
  0.580000    0.154524    0.912561    0.087439  
  0.590000    0.215606    0.907571    0.092429  
  0.600000    0.282860    0.901606    0.098394  
  0.610000    0.355945    0.894499    0.105501  
  0.620000    0.434478    0.886050    0.113950  
  0.630000    0.518041    0.876010    0.123990  
  0.640000    0.606169    0.864080    0.135920  
  0.650000    0.698354    0.849899    0.150101  
  0.660000    0.794044    0.833047    0.166953  
  0.670000    0.892634    0.813042    0.186958  
  0.680000    0.993470    0.789361    0.210639  
  0.690000    1.095849    0.761479    0.238521  
  0.700000    1.199024    0.728935    0.271065  
  0.710000    1.302217    0.691448    0.308552  
  0.720000    1.404638    0.649051    0.350949  
  0.730000    1.505525    0.602238    0.397762  
  0.740000    1.604176    0.552041    0.447959  
  0.750000    1.700000    0.500000    0.500000  
  0.760000    1.792547    0.447959    0.552041  
  0.770000    1.881525    0.397762    0.602238  
  0.780000    1.966782    0.350949    0.649051  
  0.790000    2.048286    0.308552    0.691448  
  0.800000    2.126075    0.271065    0.728935  
  0.810000    2.200222    0.238521    0.761479  
  0.820000    2.270808    0.210639    0.789361  
  0.830000    2.337895    0.186958    0.813042  
  0.840000    2.401524    0.166953    0.833047  
  0.850000    2.461710    0.150101    0.849899  
  0.860000    2.518441    0.135920    0.864080  
  0.870000    2.571682    0.123990    0.876010  
  0.880000    2.621384    0.113950    0.886050  
  0.890000    2.667484    0.105501    0.894499  
  0.900000    2.709911    0.098394    0.901606  
  0.910000    2.748590    0.092429    0.907571  
  0.920000    2.783444    0.087439    0.912561  
  0.930000    2.814398    0.083292    0.916708  
  0.940000    2.841383    0.079881    0.920119  
  0.950000    2.864333    0.077122    0.922878  
  0.960000    2.883192    0.074946    0.925054  
  0.970000    2.897912    0.073304    0.926696  
  0.980000    2.908454    0.072156    0.927844  
  0.990000    2.914791    0.071478    0.928522  
  1.000000    2.916905    0.071254    0.928746  
  1.000000    2.916905    0.071254    0.928746  
  1.100000    2.916905    0.071254    0.928746  
  1.200000    2.916905    0.071254    0.928746  
  1.300000    2.916905    0.071254    0.928746  
  1.400000    2.916905    0.071254    0.928746  
  1.500000    2.916905    0.071254    0.928746  
  1.600000    2.916905    0.071254    0.928746  
  1.700000    2.916905    0.071254    0.928746  
  1.800000    2.916905    0.071254    0.928746  
  1.900000    2.916905    0.071254    0.928746  
  2.000000    2.916905    0.071254    0.928746  
  2.000000    2.916905    0.071254    0.928746  
  2.100000    2.916905    0.071254    0.928746  
  2.200000    2.916905    0.071254    0.928746  
  2.300000    2.916905    0.071254    0.928746  
  2.400000    2.916905    0.071254    0.928746  
  2.500000    2.916905    0.071254    0.928746  
  2.600000    2.916905    0.071254    0.928746  
  2.700000    2.916905    0.071254    0.928746  
  2.800000    2.916905    0.071254    0.928746  
  2.900000    2.916905    0.071254    0.928746  
  3.000000    2.916905    0.071254    0.928746  

  0.000000    4.083095    0.928746    0.071254  
  0.010000    4.079289    0.928522    0.071478  
  0.020000    4.067890    0.927844    0.072156  
