# kpline, ek, [weight] * n_orb_type
  0.000000   -8.190428    0.166667    0.500000    0.333333
  0.006840   -8.183948    0.166566    0.500301    0.333133
  0.013681   -8.164469    0.166284    0.501147    0.332568
  0.020521   -8.131852    0.165873    0.502380    0.331747
  0.027361   -8.085789    0.165410    0.503770    0.330820
  0.034202   -8.025745    0.164978    0.505066    0.329956
  0.041042   -7.950924    0.164652    0.506044    0.329304
  0.047882   -7.860310    0.164486    0.506541    0.328973
  0.054723   -7.752777    0.164506    0.506481    0.329013
  0.061563   -7.627262    0.164709    0.505873    0.329418
  0.068403   -7.482995    0.165068    0.504794    0.330137
  0.075244   -7.319749    0.165547    0.503360    0.331094
  0.082084   -7.138092    0.166101    0.501695    0.332203
  0.088924   -6.939588    0.166695    0.499914    0.333391
  0.095765   -6.726897    0.167298    0.498107    0.334595
  0.102605   -6.503728    0.167885    0.496347    0.335769
  0.109445   -6.274622    0.168431    0.494708    0.336861
  0.116286   -6.044570    0.168905    0.493286    0.337809
  0.123126   -5.818531    0.169259    0.492223    0.338517
  0.129967   -5.600900    0.169426    0.491724    0.338850
  0.136807   -5.395066    0.169317    0.492050    0.338633
  0.143647   -5.203141    0.168831    0.493508    0.337661
  0.150488   -5.025948    0.167861    0.496418    0.335721
  0.157328   -4.863318    0.166307    0.501079    0.332613
  0.164168   -4.714618    0.164085    0.507746    0.328169
  0.171009   -4.579372    0.161134    0.516599    0.322267
  0.177849   -4.457765    0.157431    0.527708    0.314862
  0.184689   -4.350820    0.153005    0.540985    0.306010
  0.191530   -4.260179    0.147954    0.556138    0.295909
  0.198370   -4.187557    0.142444    0.572665    0.284891
  0.205210   -4.134117    0.136694    0.589916    0.273390
  0.212051   -4.100036    0.130930    0.607207    0.261863
  0.218891   -4.084375    0.125353    0.623940    0.250707
  0.225731   -4.085261    0.120106    0.639680    0.240214
  0.232572   -4.100225    0.115274    0.654177    0.230549
  0.239412   -4.126571    0.110886    0.667341    0.221773
  0.246252   -4.161682    0.106935    0.679193    0.213871
  0.253093   -4.203222    0.103393    0.689820    0.206787
  0.259933   -4.249226    0.100222    0.699332    0.200445
  0.266773   -4.298088    0.097387    0.707837    0.194776
  0.273614   -4.348478    0.094859    0.715420    0.189721
  0.280454   -4.399214    0.092619    0.722141    0.185240
  0.287294   -4.449150    0.090653    0.728038    0.181309
  0.294135   -4.497106    0.088955    0.733138    0.177907
  0.300975   -4.541885    0.087530    0.737484    0.174986
  0.307815   -4.582944    0.250015    0.250015    0.499970
  0.314656   -4.618225    0.250009    0.250009    0.499982
  0.321496   -4.647186    0.250002    0.250002    0.499996
  0.328336   -4.669752    0.249971    0.249971    0.500058
  0.335177   -4.685883    0.249749    0.249750    0.500501
  0.342017   -4.695564    0.245057    0.245249    0.509694
  0.348857   -4.698792    0.051445    0.708579    0.239976
  0.353694   -4.697178    0.044958    0.302699    0.652343
